# prefix,generation number,ASDSF
11479999165974,2300,0.000000
12005138118018,1900,0.000000
12425937818267,2300,0.000000
15066542355651,1900,0.000000
16625996540231,2700,0.000000
18993746289815,1500,0.000000
20145542033677,3500,0.000000
23125287415112,3900,0.000000
23711918460387,1500,0.000000
24180781116560,2300,0.000000
2420621833149,2300,0.000000
24208850893710,1500,0.000000
24914936766684,2700,0.000000
25689453922014,2300,0.000000
25860581764844,3900,0.000000
26449932564997,3500,0.000000
2670625334966,2300,0.000000
26943679365032,1900,0.000000
274155286901,3100,0.000000
27519868277732,3100,0.000000
28195883345084,1900,0.000000
30068591703026,2700,0.000000
30072176489265,1900,0.000000
30173802330679,2700,0.000000
30198641279860,1500,0.000000
30299279004662,1900,0.000000
30577974489123,4700,0.000000
31700411683709,2300,0.000000
33066616622235,1900,0.000000
33114242114408,2700,0.000000
33449790797957,1900,0.000000
35136254781551,2700,0.000000
36093096061371,2300,0.000000
36113912731499,3100,0.000000
36664970414146,2700,0.000000
38681347133365,3500,0.000000
3879650417824,3100,0.000000
39218342712222,2300,0.000000
40021428019746,2300,0.000000
40228409612447,2700,0.000000
41873827529340,3500,0.000000
4636910225524,1900,0.000000
53036196154898,1500,0.000000
54185207436563,1500,0.000000
55351083364482,1900,0.000000
56621849844181,2700,0.000000
57415361027809,1900,0.000000
58016613397101,3100,0.000000
58290442892766,2700,0.000000
60334472053582,2700,0.000000
61173989239901,1900,0.000000
61313027707056,5000,0.121840
616959736154,2300,0.000000
62556907317870,3500,0.000000
62856252386723,2300,0.000000
65999932730154,1500,0.000000
66287845969535,3900,0.000000
66675030961759,2300,0.000000
67902904483044,2300,0.000000
68085942205199,1900,0.000000
69208043176942,2300,0.000000
69568167313140,2300,0.000000
71509087050217,2300,0.000000
72447217247127,2300,0.000000
72633268843800,3500,0.000000
74122157681408,1900,0.000000
74235569206899,2300,0.000000
74763202297945,2300,0.000000
75382735645478,3500,0.000000
75485438797244,3100,0.000000
76214242551872,3100,0.000000
7759518624546,2300,0.000000
77762577352973,1900,0.000000
78207215744187,2300,0.000000
7820949938914,3100,0.000000
78839605203484,2700,0.000000
78924702251386,2300,0.000000
79028970544735,1500,0.000000
79899122063225,2700,0.000000
80519819702636,3500,0.000000
84586439790818,4300,0.000000
84608660089326,1500,0.000000
84830063227670,1500,0.000000
85095450915769,2300,0.000000
86776353405041,3100,0.000000
87037318865080,3900,0.000000
87054959633889,2300,0.000000
88777587429942,2300,0.000000
90230286300966,3100,0.000000
90301089888025,2300,0.000000
90742696993083,2700,0.000000
90755018951352,2300,0.000000
90875346831297,2300,0.000000
92375289522048,1900,0.000000
9341262637147,2300,0.000000
94116226558623,1900,0.000000
94441470249229,1500,0.000000
95975541582078,1500,0.000000
97831065711542,3100,0.000000
99761155584695,1900,0.000000
